name,id,wikipedia_,gender,scale,length
Coronel Antonio Susini,"128828488",,Male,"-0.5",191.62495570845
Fitz Roy,"128828495",,Male,"-1.0",74.5074465873412
Virgen de Itatí,"129282354",https://es.wikipedia.org/wiki/Virgen_de_Itat%C3%AD,Female,"0.26",1127.73381885109
Sáenz Peña,"129481000",,Male,"-1.0",816.826815636757
Avenida Doctor Honorio Pueyrredón,"130348864",,Male,"-0.5",104.015751107985
Coronel Apolinario Figueroa,"130351685",,Male,"-0.49",127.739778635176
Boulevard Rosario Vera Peñaloza,"139633990",https://es.wikipedia.org/wiki/Rosario_Vera_Pe%C3%B1aloza,Female,"0.91",157.288067899536
John William Cooke,"140182569",,Male,"-0.99",46.0580961315075
Aristóbulo Del Valle,"141895192",,Male,"-0.77",46.3100372813954
Avenida Almirante Brown,"141895205",,Male,"-0.49",102.856804363166
Avenida Benito Pérez Galdós,"141895212",,Male,"-0.5",28.7185914261833
Avenida Benito Pérez Galdós,"141895213",,Male,"-0.5",14.7517499434497
Copérnico,"147380726",,Male,"-1.0",68.124790699765
John William Cooke,"149726366",,Male,"-0.99",37.1158535221859
Ricardo Enrique Bochini,"159001707",,Male,"-1.0",195.204124682929
Intendente Luis Raúl Sagol,"159001711",,Male,"-0.5",491.475120673327
Diego Alberto Milito,"159001719",,Male,"-1.0",158.995737192971
Avenida Agustín Debenedetti,"160540606",,Male,"-1.0",322.08714960317
Estanislao del Campo,"160680308",,Male,"-0.49",395.969545835851
Juan B. Justo,"161718951",,Male,"-0.99",165.592812319972
Pasteur,"162311880",,Male,"-0.5",87.4590161083946
General Heredia,"162417777",,Male,"-0.5",139.552386506002
Juan Bautista Alberdi,"162505466",,Male,"-0.99",90.5515217773469
Juan Bautista Alberdi,"162505467",,Male,"-0.99",256.374533603921
Carlos Pellegrini,"163512942",,Male,"-0.99",314.19758629638
Avenida Bernardino Rivadavia,"164559229",,Male,"-0.5",209.992355266571
Lola Mora,"164559233",https://es.wikipedia.org/wiki/Lola_Mora,Female,"0.99",111.869916665004
Humboldt,"165356949",,Male,"-0.5",378.484885682498
Humboldt,"165356953",,Male,"-0.5",113.086781689867
José Bonifacio,"166667039",,Male,"-0.5",176.504991710084
Coronel Lacarra,"171573126",,Male,"-0.5",150.965658068579
Teniente General Luís Dellepiane,"197956388",,Male,"-0.5",156.045972244267
Avenida Pedro Goyena,"206879697",,Male,"-0.5",131.666600308826
Luis Viale,"221560605",,Male,"-0.5",62.8606567332126
Darwin,"221561171",,Male,"-0.5",3.00715496830284
Darwin,"221561173",,Male,"-0.5",105.340894661563
Coronel Martiniano Chilavert,"221568104",,Male,"-1.0",10.8144775516074
Avenida Ana María Janer,"221570299",https://es.wikipedia.org/wiki/Anna_Maria_Janer_i_Anglarill,Female,"1.0",92.496245201692
Avenida Ana María Janer,"221570913",https://es.wikipedia.org/wiki/Anna_Maria_Janer_i_Anglarill,Female,"1.0",106.602933067086
Doctor Juan Felipe Aranguren,"221687605",,Male,"-0.5",413.319352165963
Franklin,"221688462",,Male,"-0.49",674.947544096938
Méndez de Andes,"221688764",,Male,"-0.46",225.119059783599
Doctor Nicolás Repetto,"221690264",,Male,"-1.0",35.1472932317659
Ejército de los Andes,"223075181",,Male,"-0.46",198.380554014625
José M. Penna,"223075184",,Male,"-0.29",375.41680756242
Avenida Hipólito Yrigoyen,"226449409",,Male,"-0.5",250.120300144834
General Madariaga,"226456051",,Male,"-0.5",725.035654259364
General Arredondo,"226505745",,Male,"-0.5",164.653294379955
Acevedo,"228564279",,Male,"-0.5",879.701648057608
Avenida Eva Perón,"229112058",https://es.wikipedia.org/wiki/Eva_Per%C3%B3n,Female,"1.0",112.393241864653
Avenida General Paz,"234155840",,Male,"-0.39",1.16700431848057
General Paz,"236997457",,Male,"-0.39",69.710612492297
Benito Pérez Galdós,"236997897",,Male,"-0.5",113.259688493214
Rolando Braga,"237427851",,Male,"-0.5",164.451239172781
Simón Guerrero,"238784082",,Male,"-0.5",513.732958907511
Avenida Elvira Rawson de Dellepiane,"239109230",https://es.wikipedia.org/wiki/Elvira_Rawson,Female,"1.0",248.816869170724
Pasaje Mitre,"239191599",,Male,"-0.5",92.9977619358997
Avenida Elvira Rawson de Dellepiane,"242235239",https://es.wikipedia.org/wiki/Elvira_Rawson,Female,"1.0",29.4496050050113
Eduardo Madero,"242649660",,Male,"-1.0",806.611498546794
General Villegas,"242962228",,Male,"-0.5",36.5478571345762
Avenida Federico Lacroze,"246160312",,Male,"-0.5",123.044421563031
Avenida Federico Lacroze,"246237376",,Male,"-0.5",93.9131509063669
Avenida Federico Lacroze,"246308296",,Male,"-0.5",25.3648971669712
Paseo Peatonal Costero Diputado Nacional Carlos Bello,"256716171",,Male,"-0.5",443.596937021519
Avenida Belgrano,"265784897",,Male,"-0.5",64.5661779199643
Avenida Belgrano,"265784901",,Male,"-0.5",92.7321271450071
Avenida Remedios de Escalada de San Martín,"266147706",https://es.wikipedia.org/wiki/Mar%C3%ADa_de_los_Remedios_de_Escalada,Female,"0.99",499.590220713668
