name,id,wikipedia_link,gender,scale,length
Carrer Santa Clotilde,"8590768",https://es.wikipedia.org/wiki/Clotilde_(reina),Female,,97.7652755761136
Carrer d'Enric Granados,"9405722",,Male,,137.08129106439
Passeig de Picasso,"9412955",,Male,,211.021227360656
Carrer de la Mercè,"9412964",,Female,,185.486681591909
Carrer de Ramón y Cajal,"9930038",,Male,,277.869336164941
Carrer de Santa Rosa,"9930126",https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa),Female,,155.1356763705
Travessia de Sant Antoni,"9980759",,Male,,70.5077333341743
Travessia de Sant Antoni,"9980761",,Male,,75.7219746656322
Carrer de Badia,"9981229",,Female,,168.892019296736
Carrer de Mateu,"9982803",,Male,,101.272354296745
Carrer de Martí,"9983715",,Male,,95.3391197809943
Carrer de Santa Àgata,"9986520",https://es.wikipedia.org/wiki/%C3%81gueda_de_Catania,Female,,211.640815785941
Carrer de Santa Magdalena,"9986523",https://es.wikipedia.org/wiki/Santa_Magdalena_(desambiguaci%C3%B3n),Female,,88.2780212370953
Carrer de Santa Perpètua,"9987976",,Female,,141.731776371472
Carrer de Pere Serafí,"10070630",,Male,,79.6249261889758
Carrer de Sant Domènec,"10070800",,Male,,140.372587811012
Carrer Sant Pau,"10426329",,Male,,20.4711581314964
Carrer de Maria Aurèlia Capmany,"10428122",https://es.wikipedia.org/wiki/Maria_Aur%C3%A8lia_Capmany,Female,,103.509444060807
Carrer de Sant Pacià,"10428232",,Male,,113.118821654137
Carrer de Sant Bertran,"10511051",,Male,,114.403137929224
Carrer de Sant Oleguer,"10851867",,Male,,157.246731181576
Carrer de Sant Bartomeu,"10852812",,Male,,75.9589822907195
Carrer de Sant Martí,"10852897",,Male,,77.8895308413591
Carrer de Sant Pau,"10853180",,Male,,119.623043892627
Carrer de Guifré,"11300057",,Male,,85.3198656575073
Carrer d'en Xuclà,"11301079",,Male,,99.6449322970437
Passatge de Sant Bernat,"12373447",,Male,,104.354282923135
Carrer de Pi i Margall,"13712261",,Male,,89.4711501632088
Carrer de Joaquim Ruyra,"13717101",,Male,,139.221644689839
Carrer de Hipolit Lazaro,"13717264",,Male,,218.242703199878
Carrer de Pau Alsina,"13717339",,Male,,309.319339387341
Carrer de Sant Lluís,"13717449",,Male,,4.40980303133307
Carrer de Pau Alsina,"13718672",,Male,,443.226099818685
Carrer de Milà i Fontanals,"13719318",,Male,,67.450445048409
Plaça de la Font Castellana,"13722145",,Male,,106.213247031837
Carrer de Joan Blanques,"14194648",,Male,,62.2546482675127
Passeig de Santa Madrona,"16365469",https://es.wikipedia.org/wiki/Madrona,Female,,795.796104084738
Carrer de Joaquim Blume,"17201934",,Male,,139.909082616781
Carrer de Maria Montessori,"17202294",https://es.wikipedia.org/wiki/Maria_Montessori,Female,,129.646420544803
Carrer del Rei Martí,"17203687",,Male,,29.8734273797752
Carrer de Joanot Martorell,"17203920",,Male,,171.159046950728
Carrer del Sant Crist,"17204097",,Male,,262.186612163598
Carrer de Galileu,"18431550",,Male,,56.2963698291339
Carrer de l'Hort de Sant Pau,"18502193",,Male,,66.5474302152825
Passeig de Josep Carner,"18506598",,Male,,202.752946975266
Passeig de Josep Carner,"18507616",,Male,,302.351817785344
Passeig d'Isabel II,"18512190",https://es.wikipedia.org/wiki/Isabel_II_de_Espa%C3%B1a,Female,,160.79340696253
Plaça de Pau Vila,"18513172",,Male,,11.4005870918922
Carrer del Doctor Aiguader,"18513185",,Male,,138.900754712845
Passeig d'Isabel II,"18513247",https://es.wikipedia.org/wiki/Isabel_II_de_Espa%C3%B1a,Female,,163.042106593599
Carrer del Cid,"18595111",,Male,,60.0944404347114
Carrer de Montserrat,"18595138",,Female,,21.5933454376858
Carrer del Portal de Santa Madrona,"18596059",https://es.wikipedia.org/wiki/Madrona,Female,,73.5044228807156
Carrer de Santa Mònica,"18600454",https://es.wikipedia.org/wiki/M%C3%B3nica_de_Hipona,Female,,96.7948141835414
Carrer de l'Arc de Sant Pau,"18617908",,Male,,13.8282343868297
Carrer de Sant Ramon,"18618300",,Male,,146.751175041756
Passatge de Bernardí Martorell,"18618495",,Male,,20.298124502414
Carrer de l'Arc de Sant Agustí,"18658591",,Male,,127.333120519551
Carrer del Cardenal Casañas,"18831512",,Male,,96.4228288209358
Plaça Joaquim Xirau i Palau,"18833113",,Male,,90.8048110023341
Carrer de Josep Anselm Clavé,"18833123",,Male,,45.0928755454943
Carrer de la Princesa,"18968925",,Female,,116.823931646625
Passatge de Lluís Cutchet,"19832641",,Male,,1.99449043373195
Carrer Louis Braille,"19910145",,Male,,84.4255757604746
Passatge del Dormitori de Sant Francesc,"19913247",,Male,,70.2421277987385
Carrer de Marquet,"19914811",,Male,,100.886690497367
Carrer de Cervantes,"19915981",,Male,,65.5018465716517
Carrer de Palau,"19916059",,Male,,73.5013749951482
Baixada de Sant Miquel,"19916419",,Male,,79.6386249478208
Carrer d'Hèrcules,"19917066",,Male,,88.3783996574309
Carrer de la Reina Elionor,"19917682",https://es.wikipedia.org/wiki/Leonor_de_Arag%C3%B3n_y_Foix,Female,,31.8620822746427
Carrer d'en Gignàs,"19918639",,Male,,181.119476207112
Carrer de Salvador Aulet,"19919154",,Male,,42.8549285083497
Passatge d'Amadeu Bagués,"19921505",,Male,,7.10662785541545
Baixada de Santa Eulàlia,"19922468",https://es.wikipedia.org/wiki/Eulalia_de_Barcelona,Female,,43.8870920480492
Carrer de Sant Honorat,"19922473",,Male,,110.88654296125
Carrer de Sant Sever,"19922498",,Male,,63.9268855068344
Carrer del Doctor Joaquim Pou,"20020547",,Male,,35.5291277431569
Carrer de Tomàs Mieres,"20020745",,Male,,61.2379539799978
Carrer de Sant Pere Mitjà,"20045064",,Male,,358.58377164907
Carrer de Julià Portet,"20045898",,Male,,76.4960356886943
Carrer del General Álvarez de Castro,"20347403",,Male,,88.5683677607588
Carrer de Sant Pere Més Baix,"20347585",,Male,,164.997850210404
Carrer d'en Giralt el Pellisser,"20351563",,Male,,163.745064230482
Carrer de l'Arc de Sant Silvestre,"20352088",,Male,,48.2175203348303
Carrer del Pare Gallifa,"20352712",,Male,,53.6852137461841
Carrer de Duran i Bas,"20354177",,Male,,94.3928106236008
Carrer d'Alí Bei,"20475089",,Male,,233.614275091595
Passeig de Sant Joan,"20476283",,Male,,153.402832513856
Passeig de Lluís Companys,"20478115",,Male,,14.8462063414941
Passatge de Sant Benet,"21401529",,Male,,49.5138311906205
Passatge de Sant Benet,"21402074",,Male,,58.9132848362441
Plaça d'Antoni Maura,"21785463",,Male,,35.5561047322026
Carrer dels Cecs de Sant Cugat,"22412881",,Male,,66.6700167322063
Carrer d'Àngel J. Baixeras,"22416746",,Male,,16.8082602667815
Carrer de Santa Maria,"22421181",https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs),Female,,72.2889882902876
Carrer de Sant Antoni dels Sombrerers,"22423631",,Male,,54.2758770516048
Carrer de la Volta d'en Dusai,"22431111",,Male,,39.3764913658277
Carrer d'en Tantarantana,"22432582",,Male,,158.627626669888
Carrer de les Basses de Sant Pere,"22438773",,Male,,112.200211722238
Carrer d'en Cortines,"22440378",,Male,,154.577050614749
Carrer d'en Llàstics,"22448142",,Male,,86.510544452464
Carrer de la Reina Cristina,"22588133",https://es.wikipedia.org/wiki/Cristina_de_Suecia,Female,,101.57871910671
Passeig de Picasso,"22658522",,Male,,110.465010780337
Carrer de Ramon Trias Fargas,"22689284",,Male,,315.713472734717
Carrer de la Marquesa,"22689703",,Female,,128.513406767076
Carrer del General Castaños,"22689716",,Male,,130.057760879874
